TIMESTAMP,Pyrh1_Wm2_Avg,Pyrad1_Wm2_Avg,Pyra1_Wm2_Avg,Pyrg1_Wm2_Avg,UVA_Wm2_Avg,UVB_Wm2_Avg,Pyrg1_downwell_Wm2_Avg,RECORD,SolarTime_hr,SolarTime_hr_Med,SolarZenith_deg_Avg,SolarAzFromSouth_deg_Avg,Declination_deg_Avg,AirMass_Avg,CR1000Temp_C_Avg,DoorOpen_Min,RainTB_mm_Tot,Vent2_rpm_Avg,Pyrh1temp_C_Avg,Pyrg1temp_C_Avg,Pyra1temp_C_Avg,UVBtemp_C_Avg,RefCell1_Wm2_Avg,RefCell2_Wm2_Avg,RefCell3_Wm2_Avg,RefCell4_Wm2_Avg,RefCell5_Wm2_Avg,RefCell6_Wm2_Avg,WindSpeedAve_ms,WindDirAve_deg,WindDirStdDev_deg,WindSpeed_ms_Max,AirTemp_C_Avg,RelHumid_Avg,AirPres_kPa_Avg,Rain_mm_Tot,Hail_hitssqrcm_Tot,SixInOneRef_V_Min,SixInOneHeatStateID_Avg,WindValid_Avg,Battery_V_Min,Battery_A_Avg,Load_A_Avg,ChgState_Min,ChgSource_Min,CkBatt_Max,Qloss_Ah_Max,RelayState_Min
2015-07-01 00:00:00-05:00,0.37440565,-0.3571939,-5.363439,-30.52503,-0.027442485,-0.012314606,399.57562,9625,23.79,23.78,117.6,176.6,23.13,,35.4,0.0,0.0,2521.0,20.5,21.78,21.49,56.04,-0.459,-0.235,-0.336,-0.258,0.024,-0.489,6.072,283.7,13.74,7.9,20.9,72.1,99.03333,0.02,0.0,3.495,2.0,-1.0,13.15,0.006,2.077,3.0,1.0,0.0,0.001,11
2015-07-01 00:01:00-05:00,0.37440565,-0.3571939,-5.363439,-31.33903,-0.027442485,-0.01202809,398.3367,9626,23.81,23.8,117.7,176.9,23.13,,35.4,0.0,0.0,2521.0,20.39,21.71,21.43,56.02,-0.469,-0.234,-0.355,-0.27,0.02,-0.488,5.612,283.7,11.1,7.7,20.9,72.78,99.05317,0.0,0.0,3.495,2.0,-1.0,13.15,0.006,2.077,3.0,1.0,0.0,0.0,11
2015-07-01 00:02:00-05:00,0.37440565,-0.3571939,-5.575853,-31.74603,-0.027442485,-0.012376405,397.57178,9627,23.82,23.81,117.7,177.1,23.13,,35.4,0.0,0.0,2522.0,20.25,21.65,21.36,55.98,-0.467,-0.231,-0.344,-0.278,0.023,-0.488,4.575,274.1,13.68,6.4,20.89,73.5,99.07433,0.03,0.0,3.495,2.0,-1.0,13.15,0.031,2.081,3.0,1.0,0.0,0.0,11
2015-07-01 00:03:00-05:00,0.37440565,-0.47625852,-5.788266,-31.135529,-0.030640667,-0.012185393,397.7286,9628,23.84,23.83,117.7,177.4,23.13,,35.4,0.0,0.0,2522.0,20.1,21.57,21.28,55.93,-0.47,-0.233,-0.352,-0.256,0.021,-0.487,4.103,260.8,12.0,5.6,20.8,74.25,99.09349,0.03,0.0,3.495,2.0,-1.0,13.15,0.01,2.079,3.0,1.0,0.0,0.0,11
2015-07-01 00:04:00-05:00,0.37440565,-0.8334524,-6.0006795,-31.33903,-0.028267821,-0.011808989,396.99722,9629,23.86,23.85,117.7,177.6,23.13,,35.4,0.0,0.0,2522.0,19.91,21.48,21.18,55.87,-0.459,-0.233,-0.355,-0.26,0.03,-0.487,3.747,259.1,20.85,6.2,20.76,74.97,99.113,0.08,0.0,3.495,2.0,-1.0,13.15,0.011,2.081,3.0,1.0,0.0,0.0,11
2015-07-01 00:05:00-05:00,0.37440565,-0.8334524,-5.788266,-31.949532,-0.027442485,-0.012095506,395.79303,9630,23.87,23.86,117.7,177.9,23.13,,35.4,0.0,0.1,2521.0,19.69,21.38,21.08,55.79,-0.462,-0.235,-0.362,-0.28,0.019,-0.489,3.915,251.8,15.07,6.0,20.7,76.3,99.13,0.14,0.0,3.495,2.0,-1.0,13.15,-0.014,2.081,3.0,1.0,0.0,0.0,11
2015-07-01 00:06:00-05:00,0.6240094,-0.8334524,-5.6820593,-31.33903,-0.027132984,-0.0116516845,395.77676,9631,23.89,23.88,117.7,178.1,23.13,,35.4,0.0,0.0,2521.0,19.46,21.27,20.96,55.69,-0.474,-0.239,-0.351,-0.264,0.017,-0.491,4.28,251.2,15.87,5.9,20.58,76.96,99.14034,0.07,0.0,3.495,2.0,-1.0,13.15,0.003,2.081,3.0,1.0,0.0,0.0,11
2015-07-01 00:07:00-05:00,0.8736132,-0.7143878,-5.363439,-31.33903,-0.02682348,-0.01108427,395.1387,9632,23.91,23.9,117.7,178.4,23.13,,35.4,0.0,0.0,2521.0,19.26,21.16,20.84,55.56,-0.479,-0.239,-0.366,-0.279,0.028,-0.493,4.432,240.7,11.83,6.2,20.44,78.31,99.14683,0.08,0.0,3.495,2.0,-1.0,13.15,0.005,2.08,3.0,1.0,0.0,0.0,11
2015-07-01 00:08:00-05:00,0.7488113,-0.59532315,-5.363439,-31.135529,-0.028886827,-0.011808989,394.94043,9633,23.92,23.91,117.7,178.7,23.13,,35.4,0.0,0.1,2521.0,19.1,21.09,20.73,55.43,-0.475,-0.242,-0.348,-0.278,0.014,-0.495,3.743,246.3,16.29,5.9,20.29,79.34,99.14983,0.03,0.0,3.494,2.0,-1.0,13.15,0.006,2.078,3.0,1.0,0.0,0.0,11
2015-07-01 00:09:00-05:00,0.37440565,-0.59532315,-5.151026,-31.74603,-0.025894975,-0.010803371,393.91226,9634,23.94,23.93,117.7,178.9,23.13,,35.4,0.0,0.0,2521.0,18.99,21.02,20.63,55.3,-0.457,-0.239,-0.357,-0.264,0.016,-0.493,4.518,241.9,12.11,6.4,20.14,80.2,99.14867,0.02,0.0,3.495,2.0,-1.0,13.15,0.007,2.079,3.0,1.0,0.0,0.0,11
2015-07-01 00:10:00-05:00,0.37440565,-0.59532315,-5.044819,-30.32153,-0.027132984,-0.010926967,394.8445,9635,23.96,23.95,117.7,179.2,23.13,,35.4,0.0,0.0,2524.0,18.9,20.93,20.54,55.18,-0.465,-0.238,-0.357,-0.291,0.025,-0.492,4.712,233.7,15.05,7.2,20.02,81.1,99.14183,0.05,0.0,3.494,2.0,-0.95,13.15,0.06,2.083,3.0,1.0,0.0,0.0,11
2015-07-01 00:11:00-05:00,0.37440565,-0.47625852,-5.044819,-29.71103,-0.02682348,-0.011337078,395.00467,9636,23.97,23.96,117.7,179.4,23.13,,35.4,0.0,0.1,2521.0,18.83,20.85,20.47,55.07,-0.484,-0.239,-0.376,-0.277,0.014,-0.497,3.695,235.2,16.47,5.9,19.9,81.5,99.1335,0.06,0.0,3.495,2.0,-0.983,13.15,-0.032,2.08,3.0,1.0,0.0,0.001,11
2015-07-01 00:12:00-05:00,0.37440565,-0.47625852,-5.044819,-30.118029,-0.026204478,-0.009634832,394.06955,9637,23.99,23.98,117.7,179.7,23.13,,35.4,0.0,0.0,2521.0,18.76,20.76,20.39,54.98,-0.483,-0.241,-0.368,-0.29,0.021,-0.495,4.567,237.3,10.73,7.7,19.8,82.1,99.12316,0.03,0.0,3.494,2.0,-1.0,13.15,0.0,2.079,3.0,1.0,0.0,0.001,11
2015-07-01 00:13:00-05:00,0.37440565,-0.3571939,-4.9386125,-29.507528,-0.023006294,-0.010297753,394.2303,9638,0.006,23.99,117.7,47.97,23.13,,35.4,0.0,0.1,2522.0,18.72,20.68,20.32,54.89,-0.491,-0.244,-0.354,-0.271,0.011,-0.498,4.968,239.1,11.8,7.0,19.76,82.0,99.117,0.1,0.0,3.495,2.0,-1.0,13.15,0.004,2.079,3.0,1.0,0.0,0.001,11
2015-07-01 00:14:00-05:00,0.37440565,-0.3571939,-4.832406,-28.897028,-0.027132984,-0.009668539,394.39157,9639,0.023,0.015,117.7,-179.8,23.13,,35.4,0.0,0.0,2521.0,18.67,20.6,20.26,54.8,-0.479,-0.244,-0.356,-0.273,0.01,-0.498,4.432,234.0,11.8,6.5,19.7,82.1,99.10966,0.16,0.0,3.495,2.0,-1.0,13.15,0.005,2.079,3.0,1.0,0.0,0.001,11
2015-07-01 00:15:00-05:00,0.37440565,-0.3571939,-4.619992,-27.879526,-0.02795832,-0.009005618,394.9683,9640,0.039,0.031,117.7,-179.5,23.13,,35.4,0.0,0.1,2521.0,18.63,20.52,20.2,54.73,-0.483,-0.241,-0.368,-0.273,0.013,-0.495,4.192,233.7,17.5,8.1,19.7,82.5,99.10867,0.07,0.0,3.495,2.0,-0.983,13.15,0.006,2.079,3.0,1.0,0.0,0.001,11
2015-07-01 00:16:00-05:00,0.37440565,-0.3571939,-4.619992,-28.083027,-0.026513979,-0.008567415,394.30005,9641,0.056,0.048,117.7,-179.3,23.13,,35.4,0.0,0.0,2521.0,18.6,20.44,20.14,54.66,-0.476,-0.241,-0.368,-0.285,0.018,-0.495,4.822,235.2,11.7,6.7,19.7,82.7,99.10983,0.07,0.0,3.495,2.0,-1.0,13.15,0.006,2.081,3.0,1.0,0.0,0.0,11
2015-07-01 00:17:00-05:00,0.37440565,-0.3571939,-4.5137854,-27.269028,-0.024450636,-0.008348314,394.7849,9642,0.073,0.065,117.7,-179.0,23.13,,35.4,0.0,0.1,2522.0,18.59,20.38,20.08,54.59,-0.481,-0.233,-0.354,-0.284,0.021,-0.49,5.018,231.1,15.01,7.7,19.62,82.9,99.10883,0.07,0.0,3.494,2.0,-0.983,13.15,0.005,2.08,3.0,1.0,0.0,0.0,11
2015-07-01 00:18:00-05:00,0.24960376,-0.3571939,-4.301372,-25.844526,-0.03208501,-0.006202247,395.89282,9643,0.089,0.081,117.7,-178.7,23.13,,35.4,0.0,0.0,2521.0,18.56,20.32,20.02,54.53,-0.46,-0.223,-0.352,-0.272,0.059,-0.488,4.442,220.0,13.27,6.3,19.6,83.3,99.108,0.05,0.0,3.495,2.0,-1.0,13.15,0.007,2.08,3.0,1.0,0.0,0.0,11
2015-07-01 00:19:00-05:00,0.0,-0.3571939,-4.0889587,-25.234024,-0.027132984,-0.008567415,396.2854,9644,0.106,0.098,117.7,-178.5,23.13,,35.4,0.0,0.1,2522.0,18.55,20.28,19.97,54.49,-0.475,-0.238,-0.356,-0.291,0.017,-0.492,4.252,224.4,14.67,5.6,19.6,83.2,99.1075,0.03,0.0,3.494,2.0,-1.0,13.15,0.007,2.079,3.0,1.0,0.0,0.0,11
2015-07-01 00:20:00-05:00,0.0,-0.3571939,-3.982752,-24.216524,-0.027132984,-0.00894382,397.03583,9645,0.123,0.115,117.7,-178.2,23.13,,35.4,0.0,0.0,2521.0,18.55,20.23,19.93,54.45,-0.471,-0.238,-0.369,-0.28,0.016,-0.492,4.148,222.4,10.83,6.0,19.6,83.5,99.10916,0.11,0.0,3.495,2.0,-1.0,13.15,0.007,2.079,3.0,1.0,0.0,0.0,11
2015-07-01 00:21:00-05:00,0.0,-0.3571939,-3.982752,-23.809523,-0.028886827,-0.008910112,397.1636,9646,0.139,0.131,117.7,-178.0,23.13,,35.4,0.0,0.1,2524.0,18.55,20.18,19.89,54.43,-0.463,-0.241,-0.376,-0.277,0.013,-0.495,3.795,211.2,14.03,6.3,19.6,83.9,99.10999,0.06,0.0,3.495,2.0,-1.0,13.15,0.061,2.082,3.0,1.0,0.0,0.0,11
